pitchDist;brightnessDist;knowledgeScore;subject;time
4;4;0.21428571428571427;69;6
0;4;0.21428571428571427;69;2
4;4;0.21428571428571427;69;1
4;4;0.21428571428571427;69;2
4;0;0.21428571428571427;69;2
8;8;0.21428571428571427;69;3
4;8;0.21428571428571427;69;2
8;8;0.21428571428571427;69;5
8;0;0.21428571428571427;69;4
0;4;0.21428571428571427;69;3
8;8;0.21428571428571427;69;1
8;8;0.21428571428571427;69;3
0;4;0.21428571428571427;69;3
0;0;0.21428571428571427;69;2
8;0;0.21428571428571427;69;0
8;8;0.21428571428571427;69;2
8;0;0.21428571428571427;69;1
4;4;0.21428571428571427;69;0
4;4;0.25;72;9
8;4;0.25;72;3
8;0;0.25;72;2
0;4;0.25;72;1
0;8;0.25;72;0
0;0;0.25;72;2
4;8;0.25;72;0
8;0;0.25;72;0
4;8;0.25;72;0
4;8;0.25;72;1
0;8;0.25;72;1
4;4;0.25;72;0
8;0;0.25;72;1
0;4;0.25;72;1
0;8;0.25;72;0
4;8;0.25;72;3
0;4;0.25;72;0
4;0;0.25;72;4
4;4;0.7857142857142857;73;6
4;8;0.7857142857142857;73;3
8;0;0.7857142857142857;73;1
0;4;0.7857142857142857;73;4
0;0;0.7857142857142857;73;3
8;0;0.7857142857142857;73;2
4;8;0.7857142857142857;73;4
4;8;0.7857142857142857;73;0
0;0;0.7857142857142857;73;5
0;0;0.7857142857142857;73;3
0;8;0.7857142857142857;73;4
0;8;0.7857142857142857;73;0
4;4;0.7857142857142857;73;5
4;0;0.7857142857142857;73;1
8;0;0.7857142857142857;73;4
0;0;0.7857142857142857;73;0
0;4;0.7857142857142857;73;2
8;0;0.7857142857142857;73;1
8;0;0.6071428571428571;75;4
0;0;0.6071428571428571;75;3
4;0;0.6071428571428571;75;5
0;8;0.6071428571428571;75;1
8;4;0.6071428571428571;75;5
4;4;0.6071428571428571;75;5
8;0;0.6071428571428571;75;2
8;4;0.6071428571428571;75;5
4;4;0.6071428571428571;75;1
0;4;0.6071428571428571;75;2
0;0;0.6071428571428571;75;1
4;4;0.6071428571428571;75;0
0;8;0.6071428571428571;75;5
4;4;0.6071428571428571;75;2
0;0;0.6071428571428571;75;2
4;8;0.6071428571428571;75;2
8;0;0.6071428571428571;75;1
8;4;0.6071428571428571;75;0
4;0;0.5357142857142857;79;8
0;4;0.5357142857142857;79;4
0;8;0.5357142857142857;79;1
0;4;0.5357142857142857;79;1
8;8;0.5357142857142857;79;1
4;8;0.5357142857142857;79;2
0;0;0.5357142857142857;79;1
0;4;0.5357142857142857;79;1
8;8;0.5357142857142857;79;2
8;8;0.5357142857142857;79;7
0;4;0.5357142857142857;79;2
0;4;0.5357142857142857;79;1
8;4;0.5357142857142857;79;2
8;0;0.5357142857142857;79;3
0;0;0.5357142857142857;79;1
4;8;0.5357142857142857;79;2
0;0;0.5357142857142857;79;7
4;0;0.5357142857142857;79;3
4;8;0.5357142857142857;79;2
0;8;0.5357142857142857;79;1
0;8;0.5357142857142857;79;4
8;0;0.5357142857142857;79;2
4;8;0.5357142857142857;79;0
8;0;0.5357142857142857;79;1
0;0;0.5357142857142857;79;2
0;4;0.5357142857142857;79;1
4;4;0.5357142857142857;79;2
0;4;0.5357142857142857;79;5
0;8;0.5357142857142857;79;1
4;4;0.5357142857142857;79;2
4;0;0.5357142857142857;79;1
4;4;0.5357142857142857;79;4
4;0;0.5357142857142857;79;4
8;0;0.5357142857142857;79;1
0;0;0.5357142857142857;79;2
8;0;0.5357142857142857;79;2
4;4;0.39285714285714285;80;28
4;0;0.39285714285714285;80;5
4;4;0.39285714285714285;80;5
4;8;0.39285714285714285;80;9
0;8;0.39285714285714285;80;95
8;0;0.39285714285714285;80;2
0;4;0.39285714285714285;80;5
4;0;0.39285714285714285;80;2
8;8;0.39285714285714285;80;1
8;8;0.39285714285714285;80;8
4;4;0.39285714285714285;80;4
4;4;0.39285714285714285;80;9
0;0;0.39285714285714285;80;3
4;0;0.39285714285714285;80;8
8;4;0.39285714285714285;80;9
0;4;0.39285714285714285;80;11
8;0;0.39285714285714285;80;8
8;4;0.39285714285714285;80;14
8;0;0.5714285714285714;81;28
8;4;0.5714285714285714;81;12
0;4;0.5714285714285714;81;5
4;8;0.5714285714285714;81;8
0;0;0.5714285714285714;81;7
4;8;0.5714285714285714;81;4
