richnessDist;sharpnessDist;knowledgeScore;subject;time
4;0;0.32142857142857145;84;1
0;0;0.32142857142857145;84;1
4;4;0.32142857142857145;84;1
4;4;0.32142857142857145;84;1
4;4;0.32142857142857145;84;1
4;4;0.32142857142857145;84;1
0;4;0.32142857142857145;84;1
0;0;0.32142857142857145;84;1
0;4;0.32142857142857145;84;1
4;4;0.32142857142857145;84;1
0;4;0.32142857142857145;84;1
4;4;0.32142857142857145;84;1
4;4;0.32142857142857145;84;1
0;0;0.32142857142857145;84;1
4;4;0.32142857142857145;84;2
0;4;0.32142857142857145;84;1
4;4;0.32142857142857145;84;2
0;0;0.32142857142857145;84;1
4;4;0.32142857142857145;84;1
0;0;0.7142857142857143;86;7
0;0;0.7142857142857143;86;2
4;4;0.7142857142857143;86;2
4;4;0.7142857142857143;86;1
4;4;0.7142857142857143;86;1
4;0;0.7142857142857143;86;3
0;4;0.7142857142857143;86;3
4;4;0.7142857142857143;86;3
4;4;0.7142857142857143;86;3
4;0;0.7142857142857143;86;4
0;4;0.7142857142857143;86;2
4;8;0.7142857142857143;86;2
0;0;0.7142857142857143;86;4
4;0;0.7142857142857143;86;3
4;4;0.7142857142857143;86;1
4;4;0.7142857142857143;86;2
4;0;0.7142857142857143;86;3
0;4;0.7142857142857143;86;1
4;0;0.5357142857142857;89;7
4;4;0.5357142857142857;89;2
4;4;0.5357142857142857;89;1
4;0;0.5357142857142857;89;3
4;0;0.5357142857142857;89;1
0;4;0.5357142857142857;89;1
4;0;0.5357142857142857;89;1
0;0;0.5357142857142857;89;1
4;4;0.5357142857142857;89;0
4;0;0.5357142857142857;89;1
4;0;0.5357142857142857;89;1
4;4;0.5357142857142857;89;3
4;4;0.5357142857142857;89;1
4;0;0.5357142857142857;89;0
4;0;0.5357142857142857;89;0
4;4;0.5357142857142857;89;1
4;4;0.5357142857142857;89;0
4;0;0.5357142857142857;89;2
4;0;0.39285714285714285;97;1
0;0;0.39285714285714285;97;0
4;4;0.39285714285714285;97;1
4;4;0.39285714285714285;97;0
4;8;0.39285714285714285;97;0
0;4;0.39285714285714285;97;1
0;4;0.39285714285714285;97;3
4;4;0.39285714285714285;97;1
4;4;0.39285714285714285;97;2
4;4;0.39285714285714285;97;1
4;4;0.39285714285714285;97;1
4;4;0.39285714285714285;97;1
4;0;0.39285714285714285;97;1
4;0;0.39285714285714285;97;1
0;4;0.39285714285714285;97;0
4;0;0.39285714285714285;97;1
4;4;0.39285714285714285;97;0
4;0;0.39285714285714285;97;1
