richnessDist;sharpnessDist;knowledgeScore;subject;time
0;0;0.5714285714285714;67;1
4;4;0.5714285714285714;67;1
0;0;0.5714285714285714;67;1
4;4;0.5714285714285714;67;1
4;0;0.5714285714285714;67;0
4;0;0.5714285714285714;67;0
0;0;0.5714285714285714;67;0
4;0;0.5714285714285714;67;1
4;0;0.5714285714285714;67;0
4;0;0.5714285714285714;67;0
4;0;0.5714285714285714;67;0
4;0;0.5714285714285714;67;0
4;0;0.5714285714285714;67;1
4;0;0.5714285714285714;67;0
4;0;0.5714285714285714;67;0
0;0;0.5714285714285714;67;0
0;4;0.5714285714285714;67;1
4;0;0.5714285714285714;67;0
4;0;0.5714285714285714;67;0
4;0;0.5714285714285714;67;1
4;0;0.5714285714285714;67;1
4;0;0.5714285714285714;67;0
4;0;0.5714285714285714;67;2
4;4;0.5714285714285714;67;0
4;0;0.5714285714285714;67;0
4;0;0.5714285714285714;67;0
4;0;0.5714285714285714;67;1
4;0;0.5714285714285714;67;0
4;0;0.5714285714285714;67;0
4;0;0.5714285714285714;67;2
4;0;0.5714285714285714;67;0
4;0;0.5714285714285714;67;0
4;0;0.5714285714285714;67;0
4;4;0.5714285714285714;67;1
4;0;0.5714285714285714;67;0
4;0;0.5714285714285714;67;0
0;4;0.21428571428571427;69;7
4;4;0.21428571428571427;69;4
0;4;0.21428571428571427;69;2
4;4;0.21428571428571427;69;0
0;8;0.21428571428571427;69;1
0;0;0.21428571428571427;69;1
0;4;0.21428571428571427;69;1
0;0;0.21428571428571427;69;1
4;0;0.21428571428571427;69;1
4;4;0.21428571428571427;69;1
0;8;0.21428571428571427;69;1
0;0;0.21428571428571427;69;2
4;4;0.21428571428571427;69;9
4;0;0.21428571428571427;69;1
4;4;0.21428571428571427;69;1
0;0;0.21428571428571427;69;1
0;0;0.21428571428571427;69;1
0;4;0.21428571428571427;69;1
0;4;0.25;72;1
4;0;0.25;72;3
4;0;0.25;72;0
4;0;0.25;72;0
4;4;0.25;72;0
0;4;0.25;72;0
4;0;0.25;72;0
4;0;0.25;72;2
4;4;0.25;72;1
0;4;0.25;72;0
4;0;0.25;72;0
0;0;0.25;72;0
4;4;0.25;72;0
4;0;0.25;72;3
4;0;0.25;72;0
0;4;0.25;72;4
4;0;0.25;72;0
4;0;0.25;72;2
0;0;0.7857142857142857;73;7
4;0;0.7857142857142857;73;3
0;4;0.7857142857142857;73;4
4;0;0.7857142857142857;73;6
0;4;0.7857142857142857;73;4
4;0;0.7857142857142857;73;5
4;4;0.7857142857142857;73;4
0;0;0.7857142857142857;73;3
4;0;0.7857142857142857;73;5
0;4;0.7857142857142857;73;3
0;4;0.7857142857142857;73;2
4;4;0.7857142857142857;73;1
0;0;0.7857142857142857;73;3
4;0;0.7857142857142857;73;6
4;0;0.7857142857142857;73;6
0;4;0.7857142857142857;73;5
4;0;0.7857142857142857;73;1
0;8;0.7857142857142857;73;5
4;4;0.6071428571428571;75;2
4;4;0.6071428571428571;75;3
0;0;0.6071428571428571;75;3
0;4;0.6071428571428571;75;4
4;4;0.6071428571428571;75;2
0;0;0.6071428571428571;75;3
4;4;0.6071428571428571;75;3
4;0;0.6071428571428571;75;1
0;4;0.6071428571428571;75;0
4;0;0.6071428571428571;75;0
0;4;0.6071428571428571;75;1
0;4;0.6071428571428571;75;1
4;4;0.6071428571428571;75;5
0;4;0.6071428571428571;75;4
4;0;0.6071428571428571;75;1
4;4;0.6071428571428571;75;1
0;4;0.6071428571428571;75;2
4;4;0.6071428571428571;75;2
4;0;0.39285714285714285;80;39
0;4;0.39285714285714285;80;10
