50Hz;250Hz;570Hz;1000Hz;1600Hz;2500Hz;4000Hz;7000Hz;13500Hz
0.00023580255146462203;0.00016806992257333578;0.00020593255129706953;0.00019244804338913648;0.00019244804338913648;0.00016806992257333578;0.00020593255129706953;0.000279304543172522;0.00020593255129706953
0.2253932988874752;0.027616968208519076;0.060174362782199495;0.054361821475334034;0.06439075242776732;0.07373046960065696;0.09034039809573391;0.08442488932912598;1
-1;0.7626978111181522;0.06660839975508764;0.1968418780749478;0.2253932988874752;0.1145047492392124;0.16065046982836312;0.2253932988874752;-1
0.06660839975508764;0.01034440463012264;0.006660839975508758;0.00788966385202097;0.0350039858814072;0.041461689982140205;0.021788884663082576;0.05255184888138481;-1
-1;0.20362143792376136;0.0350039858814072;0.0762697811118152;0.17782794100389224;0.17190717361751046;0.2253932988874752;0.07889663852020973;-1
0.17190717361751046;0.007626978111181524;0.011450474923921228;0.005255184888138479;0.0073730469600656965;0.014513244107541167;0.01034440463012264;0.030569898728200533;0.5080213918337873
0.013562898135931666;0.00712756193823517;0.0038746724964072634;0.0044366840258518656;0.006890250321005156;0.008161396924245725;0.01106923225696233;0.09345187082524356;-1
0.04288964978239601;0.0045894907617847844;0.016065046982836322;0.01034440463012264;0.015530162500118343;0.016065046982836322;0.016618353771814774;0.054361821475334034;0.24949307745483912
0.643907524277673;0.1661835377181478;0.040081226257234585;0.06439075242776732;0.21788884663082586;0.14030026780177263;0.23315621689188137;0.5623413251903491;0.7373046960065699
-1;0.03874672496407264;0.016065046982836322;0.02494930774548394;0.0350039858814072;0.058170862080083444;0.08733252160738023;0.3056989872820052;1
0.6812923305135051;0.2253932988874752;0.11194894366738595;0.27000574196471105;0.3540136436388227;0.29552076341160904;0.3461110779931553;-1;-1
0.04288964978239601;0.012674796638540726;0.012674796638540726;0.0044366840258518656;0.012252790275857541;0.01106923225696233;0.032711879669579134;0.01778279410038923;-1
0.02580860316930919;0.0031622776601683794;0.0018395241762858387;0.0017190717361751054;0.006660839975508758;0.010700683034779779;0.009034039809573392;0.01000000000000001;0.5623413251903491
0.020593255129706993;0.014677970144686567;0.0123918600504138;0.013260151927388117;0.009776772285823814;0.008538311599110294;0.01738583285251968;0.029887493866631178;0.011979287830958401
0.14030026780177263;0.040081226257234585;0.009345187082524365;0.007626978111181524;0.02494930774548394;0.026697494148768288;0.04589490761784783;0.03162277660168379;-1
